Order ID;Item ID;Product ID;Product code;Price;Quantity;Extra
"113";"2244052839";"248";"BRO120182157";"189.00";"1";"{""product_options"":{""22"":""82"",""23"":""83""},""unlimited_download"":""N"",""product"":""BROOKS W Ravenna 6 D width"",""company_id"":""1"",""is_edp"":""N"",""edp_shipping"":""N"",""discount"":""0"",""base_price"":""189"",""stored_price"":""N"",""product_options_value"":[{""option_id"":""22"",""product_id"":""248"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""82"",""option_name"":""International"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""US""},{""option_id"":""23"",""product_id"":""248"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""83"",""option_name"":""Shoes size"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""6""}]}"
"114";"2375513675";"247";"BRO120182657";"189.00";"1";"{""product_options"":{""20"":""71"",""21"":""75""},""unlimited_download"":""N"",""product"":""BROOKS W Ravenna 6 D width"",""company_id"":""1"",""is_edp"":""N"",""edp_shipping"":""N"",""discount"":""0"",""base_price"":""189"",""stored_price"":""N"",""product_options_value"":[{""option_id"":""20"",""product_id"":""247"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""71"",""option_name"":""International"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""US""},{""option_id"":""21"",""product_id"":""247"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""75"",""option_name"":""Shoes size"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""6""}]}"
"115";"231190056";"78";"L0078RO9Y9";"100.00";"1";"{""product_options"":{""17"":""58"",""2"":""10"",""19"":""""},""unlimited_download"":""N"",""points_info"":{""raw_price"":""5000"",""price"":""5000"",""display_price"":""5000""},""product"":""adizero Rush Shoes"",""company_id"":""1"",""is_edp"":""N"",""edp_shipping"":""N"",""discount"":""0"",""base_price"":""100"",""stored_price"":""N"",""product_options_value"":[{""option_id"":""17"",""product_id"":""78"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""Y"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""58"",""option_name"":""International"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""US""},{""option_id"":""2"",""product_id"":""0"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""Y"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""20"",""value"":""10"",""option_name"":""Apparel size"",""option_text"":""Size"",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""Medium""},{""option_id"":""19"",""product_id"":""78"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""20"",""value"":"""",""option_name"":""Adidas Shoe Colour"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""variant_name"":""""}]}"
"115";"1889509032";"80";"M0080Z1B49";"55.00";"1";"{""product_options"":[],""unlimited_download"":""N"",""points_info"":{""raw_price"":""2750"",""price"":""2750"",""display_price"":""2750""},""product"":""Nike Tenkay Slip TXTL Women's Shoe"",""company_id"":""1"",""is_edp"":""N"",""edp_shipping"":""N"",""discount"":""0"",""base_price"":""55"",""stored_price"":""N""}"
"115";"1521215566";"109";"C01099FRFC";"140.00";"1";"{""product_options"":[],""unlimited_download"":""N"",""points_info"":{""raw_price"":""7000"",""price"":""7000"",""display_price"":""7000""},""product"":""Montblanc Contemporary Collection Key Ring with Montblanc emblem"",""company_id"":""1"",""is_edp"":""N"",""edp_shipping"":""N"",""discount"":""0"",""base_price"":""140"",""stored_price"":""N""}"
"115";"1756002662";"249";"BRO120182490";"189.00";"1";"{""product_options"":{""104"":""568"",""24"":""94"",""25"":""95""},""unlimited_download"":""N"",""product"":""BROOKS W Ravenna 6 D width"",""company_id"":""1"",""is_edp"":""N"",""edp_shipping"":""N"",""discount"":""0"",""base_price"":""189"",""stored_price"":""N"",""product_options_value"":[{""option_id"":""104"",""product_id"":""249"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""5"",""value"":""568"",""option_name"":""Colour"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""Black \/ Green""},{""option_id"":""24"",""product_id"":""249"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""94"",""option_name"":""International"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""US""},{""option_id"":""25"",""product_id"":""249"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""95"",""option_name"":""Shoes size"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""6""}]}"
"118";"1756002662";"249";"BRO120182490";"189.00";"1";"{""product_options"":{""104"":""568"",""24"":""94"",""25"":""95""},""unlimited_download"":""N"",""product"":""BROOKS W Ravenna 6 D width"",""company_id"":""1"",""is_edp"":""N"",""edp_shipping"":""N"",""discount"":""0"",""base_price"":""189"",""stored_price"":""N"",""product_options_value"":[{""option_id"":""104"",""product_id"":""249"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""5"",""value"":""568"",""option_name"":""Colour"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""Black \/ Green""},{""option_id"":""24"",""product_id"":""249"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""94"",""option_name"":""International"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""US""},{""option_id"":""25"",""product_id"":""249"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""95"",""option_name"":""Shoes size"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""6""}]}"
"119";"2895347958";"248";"BRO120182157";"189.00";"1";"{""product_options"":{""103"":""567"",""22"":""82"",""23"":""83""},""unlimited_download"":""N"",""product"":""BROOKS W Ravenna 6 D width"",""company_id"":""1"",""is_edp"":""N"",""edp_shipping"":""N"",""discount"":""0"",""base_price"":""189"",""stored_price"":""N"",""product_options_value"":[{""option_id"":""103"",""product_id"":""248"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""5"",""value"":""567"",""option_name"":""Colour"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""Grey \/ Pink""},{""option_id"":""22"",""product_id"":""248"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""82"",""option_name"":""International"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""US""},{""option_id"":""23"",""product_id"":""248"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""83"",""option_name"":""Shoes size"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""6""}]}"
"120";"2895347958";"248";"BRO120182157";"189.00";"1";"{""product_options"":{""103"":""567"",""22"":""82"",""23"":""83""},""unlimited_download"":""N"",""product"":""BROOKS W Ravenna 6 D width"",""company_id"":""1"",""is_edp"":""N"",""edp_shipping"":""N"",""discount"":""0"",""base_price"":""189"",""stored_price"":""N"",""product_options_value"":[{""option_id"":""103"",""product_id"":""248"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""5"",""value"":""567"",""option_name"":""Colour"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""Grey \/ Pink""},{""option_id"":""22"",""product_id"":""248"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""82"",""option_name"":""International"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""US""},{""option_id"":""23"",""product_id"":""248"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""83"",""option_name"":""Shoes size"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""6""}]}"
"121";"1733086177";"247";"BRO120182657";"189.00";"1";"{""product_options"":{""102"":""566"",""20"":""71"",""21"":""75""},""unlimited_download"":""N"",""product"":""BROOKS W Ravenna 6 D width"",""company_id"":""1"",""is_edp"":""N"",""edp_shipping"":""N"",""discount"":""0"",""base_price"":""189"",""stored_price"":""N"",""product_options_value"":[{""option_id"":""102"",""product_id"":""247"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""566"",""option_name"":""Colour"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""Pink \/ Blue""},{""option_id"":""20"",""product_id"":""247"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""71"",""option_name"":""International"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""US""},{""option_id"":""21"",""product_id"":""247"",""company_id"":""1"",""option_type"":""S"",""inventory"":""Y"",""regexp"":"""",""required"":""N"",""multiupload"":""N"",""allowed_extensions"":"""",""max_file_size"":""0"",""missing_variants_handling"":""M"",""status"":""A"",""position"":""10"",""value"":""75"",""option_name"":""Shoe Size"",""option_text"":"""",""description"":"""",""inner_hint"":"""",""incorrect_message"":"""",""modifier"":""0.000"",""modifier_type"":""A"",""variant_name"":""6""}]}"
