Product code,Language,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Inventory tracking,Free shipping,Feature comparison,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,Short description,Status,Image URL,Detailed image URL,Analogue tags
"A0007DQ1TL","en","7","Women///Apparel","0.00","55.00","0.50","24","0","0.00","07 Feb 2012 00:00:00","B","N","N","R","","exim/backup/images/X41185_01.jpg#{[en]:;}","Trefoil Hoodie","<p>The adidas Originals Trefoil Hoodie has been a streetwear essential for  decades, with its characteristic big hood, kangaroo pocket and large  Trefoil. Now it's your turn to join the Trefoil men's hoodie crew and  carry the legend forward.</p>","","","","","GST","Brand: E[Adidas]","(Sportslink) Color: S[GreyHeather/Core Energy,Cardinal/PRIME YELLOW,Fairway/White]; (Sportslink) Size: S[Small,Medium,Large,X Large,XX Large]","Kids///Girls///Apparel","","D","http://lostcom.us/sportslinkshop/images/detailed/0/X41185_01.jpg","http://lostcom.us/sportslinkshop/images/detailed/0/X41185_01.jpg",""
"Z0011CZSNI","en","11","Women///Apparel","0.00","30.00","0.50","52","0","0.00","07 Feb 2012 00:00:00","B","N","N","R","","exim/backup/images/X32444_01.jpg#{[en]:;}","Collegiate 72 Tee","<p>It's not how old you are, it's how stylish, and this men's adidas  Originals Collegiate 72 Tee shirt feels just as fresh as it was the day  the Trefoil was born in 1972. That's why this t-shirt features a  collegiate ""72"" on the front.</p>","","","","","GST","Brand: E[Adidas]","(Sportslink) Color: S[White]; (Sportslink) Size: S[Small,Medium,Large,X Large,XX Large]","Men///Apparel; Kids///Boys///Apparel","","D","http://lostcom.us/sportslinkshop/images/detailed/0/X32444_01.jpg","http://lostcom.us/sportslinkshop/images/detailed/0/X32444_01.jpg",""
"U0012O5AF0","en","12","Women///Apparel","0.00","30.00","0.50","13","0","0.00","07 Feb 2012 00:00:00","B","N","N","R","","exim/backup/images/173283_0113298267324f438bac97eaf.jpg#{[en]:;}","100g Pants","<p>When coach calls you off the bench, you need warm-up pants that come off  in three seconds or less. That’s why these men's adidas 100g basketball  pants have tear-away snaps down the sides, so you're ready for action  as fast as a superhero.</p>","","","","","GST","Brand: E[Adidas]","(Sportslink) Color: S[Black/White/White,Dark Navy/White/White,White/Prime Green]; (Sportslink) Size: S[Small,Medium,Large,X Large,XX Large]","","","D","http://lostcom.us/sportslinkshop/images/detailed/0/173283_0113298267324f438bac97eaf.jpg","http://lostcom.us/sportslinkshop/images/detailed/0/173283_0113298267324f438bac97eaf.jpg",""
"H0015EXYM6","en","15","Women///Apparel","0.00","150.00","0.50","23","0","0.00","07 Feb 2012 00:00:00","B","N","N","R","","exim/backup/images/452499_010_A.jpg#{[en]:;}","Nike Chambray Super Runner Men's Jacket","<div class=""text description black-white""><div class=""product-description-component""><p><strong>The Nike Chambray Super Runner Jacket: A durable, updated classic </strong></p><br><p>The  timeless Windrunner design gets a premium upgrade in the Nike Chambray  Super Runner Men's Jacket. Created with tough, water-resistant fabric  and a mesh lining, this jacket combines breathability and protection  from the elements.</p><br><p><strong>Benefits</strong></p><li>Hood with drawcord for an adjustable fit</li><li>Overlay at yoke and raglan sleeves for style and enhanced protection</li><li>Rib cuffs and hem for a fit that stays in place</li><li>Mesh lining for enhanced ventilation</li><li>Durable, wind-resistant fabric to protect against the elements</li><br><p><strong>Additional Details</strong></p><li>Side zip pockets for secure storage</li><li>Fabric: Body: 100% cotton. Lining and overlay: 100% polyester.</li><li>Machine wash</li><li>Imported</li></div></div>","","","","","GST","Brand: E[Nike]","(Sportslink) Size: S[Small,Medium,Large,X Large,XX Large]","Men///Apparel","<p>The  timeless Windrunner design gets a premium upgrade in the Nike Chambray  Super Runner Men's Jacket. Created with tough, water-resistant fabric  and a mesh lining, this jacket combines breathability and protection  from the elements.</p>","D","http://lostcom.us/sportslinkshop/images/detailed/0/452499_010_A.jpg","http://lostcom.us/sportslinkshop/images/detailed/0/452499_010_A.jpg",""
"BRO120182657","en","247","Women","189.00","189.00","0.50","10","0","0.00","04 Jun 2015 00:00:00","O","N","N","R","","exim/backup/images/BRO120182657_1.jpg#{[en]:;}","BROOKS W Ravenna 6 D width","<p>Step into the Ravenna 6 women's running shoes and step into a whole new world of cushion and stability. Riding the line between Neutral and Support with adaptive BioMoGo DNA cushioning in the midsole for custom comfort and an extended Segmented Crash Pad for full ground contact and seamless heel-to-toe transition. The adjustable saddle wrapping from heel to midfoot provides a snug fit so you can get up and zoom. </p>","BROOKS W Ravenna 6 D width","","","BROOKS W Ravenna 6 D width","GST","","(Sportslink) Colour: S[Pink / Blue,Black / Green,Grey / Pink]; (Sportslink) International: S[US]; (Sportslink) Shoe Size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120182657_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120182657_1.jpg",""
"BRO120182157","en","248","Women","189.00","189.00","0.50","10","0","0.00","05 Jun 2015 00:00:00","O","N","N","R","","exim/backup/images/BRO120182157_1.jpg#{[en]:;}","BROOKS W Ravenna 6 D width","<p>Step into the Ravenna 6 women's running shoes and step into a whole  new world of cushion and stability. Riding the line between Neutral and  Support with adaptive BioMoGo DNA cushioning in the midsole for custom  comfort and an extended Segmented Crash Pad for full ground contact and  seamless heel-to-toe transition. The adjustable saddle wrapping from  heel to midfoot provides a snug fit so you can get up and zoom.</p>","BROOKS W Ravenna 6 D width","","","BROOKS W Ravenna 6 D width","GST","","(Sportslink) Colour: S[Grey / Pink]; (Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120182157_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120182157_1.jpg",""
"BRO120182490","en","249","Women","189.00","189.00","0.50","10","0","0.00","05 Jun 2015 00:00:00","O","N","N","R","","exim/backup/images/BRO120182490_1.jpg#{[en]:;}","BROOKS W Ravenna 6 D width","<p>Step into the Ravenna 6 women's running shoes and step into a whole  new world of cushion and stability. Riding the line between Neutral and  Support with adaptive BioMoGo DNA cushioning in the midsole for custom  comfort and an extended Segmented Crash Pad for full ground contact and  seamless heel-to-toe transition. The adjustable saddle wrapping from  heel to midfoot provides a snug fit so you can get up and zoom.</p>","BROOKS W Ravenna 6 D width","","","BROOKS W Ravenna 6 D width","GST","","(Sportslink) Colour: S[Black / Green]; (Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120182490_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120182490_1.jpg",""
"ASIHN2011101","en","250","Men","129.00","129.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","OT Ultimate 81","","","","","OT Ultimate 81","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Lifestyle","","A","","",""
"ASITH110N4623","en","251","Men","149.00","149.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","OT California 78 Vin","","","","","OT California 78 Vin","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Lifestyle","","A","","",""
"ASITH110N9301","en","252","Men","149.00","149.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","OT California 78 Vin","","","","","OT California 78 Vin","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Lifestyle","","A","","",""
"ASITH110N9490","en","253","Men","149.00","149.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","ASICS California 78 Vin","","","","","ASICS California 78 Vin","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Lifestyle","","A","","",""
