Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Inventory tracking;Free shipping;Feature comparison;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Short description;Status;Image URL;Detailed image URL;Analogue tags
"BRO120182657";"en";"247";"Women";"189.00";"189.00";"0.50";"10";"0";"0.00";"04 Jun 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/BRO120182657_1.jpg#{[en]:;}";"BROOKS W Ravenna 6 D width";"<p>Step into the Ravenna 6 women's running shoes and step into a whole new world of cushion and stability. Riding the line between Neutral and Support with adaptive BioMoGo DNA cushioning in the midsole for custom comfort and an extended Segmented Crash Pad for full ground contact and seamless heel-to-toe transition. The adjustable saddle wrapping from heel to midfoot provides a snug fit so you can get up and zoom. </p>";"BROOKS W Ravenna 6 D width";"";"";"BROOKS W Ravenna 6 D width";"GST";"";"(Sportslink) Colour: S[Pink / Blue,Black / Green,Grey / Pink]; (Sportslink) International: S[US]; (Sportslink) Shoe Size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120182657_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120182657_1.jpg";""
"BRO120182157";"en";"248";"Women";"189.00";"189.00";"0.50";"10";"0";"0.00";"05 Jun 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/BRO120182157_1.jpg#{[en]:;}";"BROOKS W Ravenna 6 D width";"<p>Step into the Ravenna 6 women's running shoes and step into a whole  new world of cushion and stability. Riding the line between Neutral and  Support with adaptive BioMoGo DNA cushioning in the midsole for custom  comfort and an extended Segmented Crash Pad for full ground contact and  seamless heel-to-toe transition. The adjustable saddle wrapping from  heel to midfoot provides a snug fit so you can get up and zoom.</p>";"BROOKS W Ravenna 6 D width";"";"";"BROOKS W Ravenna 6 D width";"GST";"";"(Sportslink) Colour: S[Grey / Pink]; (Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120182157_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120182157_1.jpg";""
"BRO120182490";"en";"249";"Women";"189.00";"189.00";"0.50";"10";"0";"0.00";"05 Jun 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/BRO120182490_1.jpg#{[en]:;}";"BROOKS W Ravenna 6 D width";"<p>Step into the Ravenna 6 women's running shoes and step into a whole  new world of cushion and stability. Riding the line between Neutral and  Support with adaptive BioMoGo DNA cushioning in the midsole for custom  comfort and an extended Segmented Crash Pad for full ground contact and  seamless heel-to-toe transition. The adjustable saddle wrapping from  heel to midfoot provides a snug fit so you can get up and zoom.</p>";"BROOKS W Ravenna 6 D width";"";"";"BROOKS W Ravenna 6 D width";"GST";"";"(Sportslink) Colour: S[Black / Green]; (Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120182490_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120182490_1.jpg";""
"BRO110188002";"en";"270";"Men";"169.00";"169.00";"0.50";"10";"0";"0.00";"17 Jul 2015 02:10:42";"O";"N";"N";"R";"";"exim/backup/images/BRO110188002_1.jpg#{[en]:;}";"BROOKS M Launch2";"";"";"";"";"BROOKS M Launch2";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Men///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO110188002_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO110188002_1.jpg";""
"BRO110188702";"en";"271";"Men";"169.00";"169.00";"0.50";"10";"0";"0.00";"13 Jun 2015 07:01:42";"O";"N";"N";"R";"";"exim/backup/images/BRO110188702_1.jpg#{[en]:;}";"BROOKS M Launch2";"";"";"";"";"BROOKS M Launch2";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Men///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO110188702_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO110188702_1.jpg";""
"BRO120174068";"en";"276";"Women";"199.00";"199.00";"0.50";"10";"0";"0.00";"01 Jan 1970 07:30:00";"O";"N";"N";"R";"";"exim/backup/images/BRO120174068_1.jpg#{[en]:;}";"BROOKS W Adrenaline GTS 15";"";"";"";"";"BROOKS W Adrenaline GTS 15";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120174068_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120174068_1.jpg";""
"BRO120174458";"en";"277";"Women";"199.00";"199.00";"0.50";"10";"0";"0.00";"01 Jan 1970 07:30:00";"O";"N";"N";"R";"";"exim/backup/images/BRO120174458_1.jpg#{[en]:;}";"BROOKS W Adrenaline GTS 15 Dwidth";"";"";"";"";"BROOKS W Adrenaline GTS 15 Dwidth";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120174458_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120174458_1.jpg";""
"BRO120175052";"en";"278";"Women";"199.00";"199.00";"0.50";"10";"0";"0.00";"17 Jul 2015 02:11:52";"O";"N";"N";"R";"";"exim/backup/images/BRO120175052_1.jpg#{[en]:;}";"BROOKS W Pure Cadence 4";"";"";"";"";"BROOKS W Pure Cadence 4";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120175052_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120175052_1.jpg";""
"BRO120175559";"en";"279";"Women";"199.00";"199.00";"0.50";"10";"0";"0.00";"05 Jun 2015 18:45:02";"O";"N";"N";"R";"";"exim/backup/images/BRO120175559_1.jpg#{[en]:;}";"BROOKS W Pure Cadence 4";"";"";"";"";"BROOKS W Pure Cadence 4";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120175559_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120175559_1.jpg";""
"BRO120176051";"en";"280";"Women";"169.00";"169.00";"0.50";"10";"0";"0.00";"05 Jun 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/BRO120176051_1.jpg#{[en]:;}";"BROOKS W Pure Connect 4";"";"";"";"";"BROOKS W Pure Connect 4";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120176051_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120176051_1.jpg";""
"BRO120176587";"en";"281";"Women";"169.00";"169.00";"0.50";"10";"0";"0.00";"01 Jan 1970 07:30:00";"O";"N";"N";"R";"";"exim/backup/images/BRO120176587_1.jpg#{[en]:;}";"BROOKS W Pure Connect 4";"";"";"";"";"BROOKS W Pure Connect 4";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120176587_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120176587_1.jpg";""
"BRO120178302";"en";"282";"Women";"169.00";"169.00";"0.50";"10";"0";"0.00";"17 Jul 2015 02:11:30";"O";"N";"N";"R";"";"exim/backup/images/BRO120178302_1.jpg#{[en]:;}";"BROOKS W Launch2";"";"";"";"";"BROOKS W Launch2";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120178302_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120178302_1.jpg";""
"BRO120178635";"en";"283";"Women";"169.00";"169.00";"0.50";"10";"0";"0.00";"01 Jan 1970 07:30:00";"O";"N";"N";"R";"";"exim/backup/images/BRO120178635_1.jpg#{[en]:;}";"BROOKS W Launch2";"";"";"";"";"BROOKS W Launch2";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120178635_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120178635_1.jpg";""
"BRO120181424";"en";"284";"Women";"179.00";"179.00";"0.50";"10";"0";"0.00";"05 Jun 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/BRO120181424_1.jpg#{[en]:;}";"BROOKS W Cascadia 10";"";"";"";"";"BROOKS W Cascadia 10";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120181424_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120181424_1.jpg";""
"BRO120181624";"en";"285";"Women";"179.00";"179.00";"0.50";"10";"0";"0.00";"17 Jul 2015 02:17:27";"O";"N";"N";"R";"";"exim/backup/images/BRO120181624_1.jpg#{[en]:;}";"BROOKS W Cascadia 10";"";"";"";"";"BROOKS W Cascadia 10";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120181624_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120181624_1.jpg";""
"BRO120183436";"en";"286";"Women";"279.00";"279.00";"0.50";"10";"0";"0.00";"05 Jun 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/BRO120183436_1.jpg#{[en]:;}";"BROOKS W Transcend 2";"";"";"";"";"BROOKS W Transcend 2";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120183436_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120183436_1.jpg";""
"BRO120183802";"en";"287";"Women";"279.00";"279.00";"0.50";"10";"0";"0.00";"17 Jul 2015 02:16:04";"O";"N";"N";"R";"";"exim/backup/images/BRO120183802_1.jpg#{[en]:;}";"BROOKS W Transcend 2";"";"";"";"";"BROOKS W Transcend 2";"GST";"";"(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]";"Women///Footwear///Running";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120183802_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/1/BRO120183802_1.jpg";""
