Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;List qty count;Shipping freight;Date added;Inventory tracking;Free shipping;Feature comparison;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Short description;Status;Image URL;Detailed image URL;Analogue tags
"BRO120161124";"en";"1070";"Women";"189.00";"189.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/bro120161124_1.jpg#{[en]:;}";"BROOKS W Ghost 7";"";"BROOKS W Ghost 7";"BROOKS W Ghost 7";"BROOKS W Ghost 7";"BROOKS W Ghost 7";"GST";"Brand: E[BROOKS]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[6,6.5,7,7.5,8,8.5,9,9.5]";"Brands///Brooks///Women's RUNNING; Brands///Brooks; Women///Footwear///Running; Women///Footwear";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/bro120161124_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/bro120161124_1.jpg";"BROOKS W Ghost 7"
"BRO120174068";"en";"1071";"Women";"199.00";"199.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/bro120174068_1.jpg#{[en]:;}";"BROOKS W Adrenaline GTS 15";"";"BROOKS W Adrenaline GTS 15";"BROOKS W Adrenaline GTS 15";"BROOKS W Adrenaline GTS 15";"BROOKS W Adrenaline GTS 15";"GST";"Brand: E[BROOKS]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[6,6.5,7,7.5,8,8.5,9,9.5]";"Brands///Brooks///Women's RUNNING; Brands///Brooks; Women///Footwear///Running; Women///Footwear";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/bro120174068_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/bro120174068_1.jpg";"BROOKS W Adrenaline GTS 15"
"ASITH471L6703";"en";"1069";"Men";"119.00";"119.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/asith471l6703_1.jpg#{[en]:;}";"ONITSUKA TIGER Serrano";"<p>Inspired by the revolutionary track spikes of the 1970's, the Serrano&trade; carries on the racing tradition of Onitsuka Tiger® - The Champion of Sport Shoes.</p>";"ONITSUKA TIGER Serrano";"ONITSUKA TIGER Serrano";"ONITSUKA TIGER Serrano";"ONITSUKA TIGER Serrano";"GST";"Brand: E[ONITSUKA TIGER]";"(Sportslink) International: S[JPN]; (Sportslink) Shoe Size: S[22.5,23,23.5,24,24.5,25,25.5,26,26.5,27]";"Brands///Onitsuka Tiger///Men's LIFESTYLE; Brands///Onitsuka Tiger; Men///Footwear///Lifestyle; Men///Footwear";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/asith471l6703_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/asith471l6703_1.jpg";"ONITSUKA TIGER Serrano"
"ASITH110N0150";"en";"1058";"Men";"149.00";"149.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/asith110n0150_1.jpg#{[en]:;}";"ONITSUKA TIGER California 78 Vin";"<p>In 1978 the California 78 VIN was crafted to compete with the latest craze of jogging in the runner’s market to assist joggers in maintaining the arch of their feet, while simultaneously offering toe support. In line of the revolutionary support, the sole also featured a wider heel for a balanced landing and curved to aid in a more forward motion. The traditional runner features the original overall aesthetic, incorporating a yellowed rubber midsole and nylon upper, keeping the nostalgia of this shoe alive and well. Also adding to the vintage appearance is suede toecap, eyestay and heel tab.</p>";"ONITSUKA TIGER California 78 Vin";"ONITSUKA TIGER California 78 Vin";"ONITSUKA TIGER California 78 Vin";"ONITSUKA TIGER California 78 Vin";"GST";"Brand: E[ONITSUKA TIGER]";"(Sportslink) International: S[JPN]; (Sportslink) Shoe Size: S[22.5,23,23.5,24,24.5,25,25.5,26,26.5,27]";"Brands///Onitsuka Tiger; Brands///Onitsuka Tiger///Men's LIFESTYLE; Men///Footwear; Men///Footwear///Lifestyle";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/asith110n0150_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/asith110n0150_1.jpg";"ONITSUKA TIGER California 78 Vin"
"ASITH110N4623";"en";"1059";"Men";"149.00";"149.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/asith110n4623_1.jpg#{[en]:;}";"ONITSUKA TIGER California 78 Vin";"<p>In 1978 the California 78 VIN was crafted to compete with the latest craze of jogging in the runner’s market to assist joggers in maintaining the arch of their feet, while simultaneously offering toe support. In line of the revolutionary support, the sole also featured a wider heel for a balanced landing and curved to aid in a more forward motion. The traditional runner features the original overall aesthetic, incorporating a yellowed rubber midsole and nylon upper, keeping the nostalgia of this shoe alive and well. Also adding to the vintage appearance is suede toecap, eyestay and heel tab.</p>";"ONITSUKA TIGER California 78 Vin";"ONITSUKA TIGER California 78 Vin";"ONITSUKA TIGER California 78 Vin";"ONITSUKA TIGER California 78 Vin";"GST";"Brand: E[ONITSUKA TIGER]";"(Sportslink) International: S[JPN]; (Sportslink) Shoe Size: S[22.5,23,23.5,24,24.5,25,25.5,26,26.5,27]";"Brands///Onitsuka Tiger; Brands///Onitsuka Tiger///Men's LIFESTYLE; Men///Footwear; Men///Footwear///Lifestyle";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/asith110n4623_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/asith110n4623_1.jpg";"ONITSUKA TIGER California 78 Vin"
"ASITH110N9301";"en";"1060";"Men";"149.00";"149.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/asith110n9301_1.jpg#{[en]:;}";"ONITSUKA TIGER California 78 Vin";"<p>In 1978 the California 78 VIN was crafted to compete with the latest craze of jogging in the runner’s market to assist joggers in maintaining the arch of their feet, while simultaneously offering toe support. In line of the revolutionary support, the sole also featured a wider heel for a balanced landing and curved to aid in a more forward motion. The traditional runner features the original overall aesthetic, incorporating a yellowed rubber midsole and nylon upper, keeping the nostalgia of this shoe alive and well. Also adding to the vintage appearance is suede toecap, eyestay and heel tab.</p>";"ONITSUKA TIGER California 78 Vin";"ONITSUKA TIGER California 78 Vin";"ONITSUKA TIGER California 78 Vin";"ONITSUKA TIGER California 78 Vin";"GST";"Brand: E[ONITSUKA TIGER]";"(Sportslink) International: S[JPN]; (Sportslink) Shoe Size: S[22.5,23,23.5,24,24.5,25,25.5,26,26.5,27]";"Brands///Onitsuka Tiger; Brands///Onitsuka Tiger///Men's LIFESTYLE; Men///Footwear; Men///Footwear///Lifestyle";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/asith110n9301_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/asith110n9301_1.jpg";"ONITSUKA TIGER California 78 Vin"
"ASITH110N9490";"en";"1061";"Men";"149.00";"149.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/asith110n9490_1.jpg#{[en]:;}";"ONITSUKA TIGER California 78 Vin";"<p>In 1978 the California 78 VIN was crafted to compete with the latest craze of jogging in the runner’s market to assist joggers in maintaining the arch of their feet, while simultaneously offering toe support. In line of the revolutionary support, the sole also featured a wider heel for a balanced landing and curved to aid in a more forward motion. The traditional runner features the original overall aesthetic, incorporating a yellowed rubber midsole and nylon upper, keeping the nostalgia of this shoe alive and well. Also adding to the vintage appearance is suede toecap, eyestay and heel tab.</p>";"ONITSUKA TIGER California 78 Vin";"ONITSUKA TIGER California 78 Vin";"ONITSUKA TIGER California 78 Vin";"ONITSUKA TIGER California 78 Vin";"GST";"Brand: E[ONITSUKA TIGER]";"(Sportslink) International: S[JPN]; (Sportslink) Shoe Size: S[22.5,23,23.5,24,24.5,25,25.5,26,26.5,27]";"Brands///Onitsuka Tiger; Brands///Onitsuka Tiger///Men's LIFESTYLE; Men///Footwear; Men///Footwear///Lifestyle";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/asith110n9490_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/asith110n9490_1.jpg";"ONITSUKA TIGER California 78 Vin"
"ASITH3K0N1389";"en";"1062";"Men";"129.00";"129.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/asith3k0n1389_1.jpg#{[en]:;}";"ONITSUKA TIGER Mexico 66 Slip On";"<p>The iconic Mexico 66 was born in 1966 and debuted at the 1968 Olympic games pre-trials in Mexico with a premium white leather, stitched with red and blue tiger stripes. Today, the classic runner has been reawakened and remains to be the most popular shoe in the Onitsuka Tiger collection. Since its revival, the heritage racer gets the full-grain leather treatment on the side panels and tiger stripes, while the heel and toecap are finished off with a smooth suede, accompanied by a natural leather heel tab, branded with the Onitsuka Tiger emblem.</p>";"ONITSUKA TIGER Mexico 66 Slip On";"ONITSUKA TIGER Mexico 66 Slip On";"ONITSUKA TIGER Mexico 66 Slip On";"ONITSUKA TIGER Mexico 66 Slip On";"GST";"Brand: E[ONITSUKA TIGER]";"(Sportslink) International: S[JPN]; (Sportslink) Shoe Size: S[22.5,23,23.5,24,24.5,25,25.5,26,26.5,27]";"Brands///Onitsuka Tiger; Brands///Onitsuka Tiger///Men's LIFESTYLE; Men///Footwear; Men///Footwear///Lifestyle";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/asith3k0n1389_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/asith3k0n1389_1.jpg";"ONITSUKA TIGER Mexico 66 Slip On"
"ASITH3K0N2001";"en";"1063";"Men";"129.00";"129.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/asith3k0n2001_1.jpg#{[en]:;}";"ONITSUKA TIGER Mexico 66 Slip On";"<p>The iconic Mexico 66 was born in 1966 and debuted at the 1968 Olympic games pre-trials in Mexico with a premium white leather, stitched with red and blue tiger stripes. Today, the classic runner has been reawakened and remains to be the most popular shoe in the Onitsuka Tiger collection. Since its revival, the heritage racer gets the full-grain leather treatment on the side panels and tiger stripes, while the heel and toecap are finished off with a smooth suede, accompanied by a natural leather heel tab, branded with the Onitsuka Tiger emblem.</p>";"ONITSUKA TIGER Mexico 66 Slip On";"ONITSUKA TIGER Mexico 66 Slip On";"ONITSUKA TIGER Mexico 66 Slip On";"ONITSUKA TIGER Mexico 66 Slip On";"GST";"Brand: E[ONITSUKA TIGER]";"(Sportslink) International: S[JPN]; (Sportslink) Shoe Size: S[22.5,23,23.5,24,24.5,25,25.5,26,26.5,27]";"Brands///Onitsuka Tiger; Brands///Onitsuka Tiger///Men's LIFESTYLE; Men///Footwear; Men///Footwear///Lifestyle";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/asith3k0n2001_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/asith3k0n2001_1.jpg";"ONITSUKA TIGER Mexico 66 Slip On"
"ASITH3Q0Y0301";"en";"1064";"Men";"109.00";"109.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/asith3q0y0301_1.jpg#{[en]:;}";"ONITSUKA TIGER Asist";"";"ONITSUKA TIGER Asist";"ONITSUKA TIGER Asist";"ONITSUKA TIGER Asist";"ONITSUKA TIGER Asist";"GST";"Brand: E[ONITSUKA TIGER]";"(Sportslink) International: S[JPN]; (Sportslink) Shoe Size: S[22.5,23,23.5,24,24.5,25,25.5,26,26.5,27]";"Brands///Onitsuka Tiger; Brands///Onitsuka Tiger///Men's LIFESTYLE; Men///Footwear; Men///Footwear///Lifestyle";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/asith3q0y0301_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/asith3q0y0301_1.jpg";"ONITSUKA TIGER Asist"
"ASITH3V3L2511";"en";"1065";"Men";"169.00";"169.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/asith3v3l2511_1.jpg#{[en]:;}";"ONITSUKA TIGER Mexico 66";"<p>The iconic Mexico 66 was born in 1966 and debuted at the 1968 Olympic games pre-trials in Mexico with a premium white leather, stitched with red and blue tiger stripes. Today, the classic runner has been reawakened and remains to be the most popular shoe in the Onitsuka Tiger collection. Since its revival, the heritage racer gets the full-grain leather treatment on the side panels and tiger stripes, while the heel and toecap are finished off with a smooth suede, accompanied by a natural leather heel tab, branded with the Onitsuka Tiger emblem.</p>";"ONITSUKA TIGER Mexico 66";"ONITSUKA TIGER Mexico 66";"ONITSUKA TIGER Mexico 66";"ONITSUKA TIGER Mexico 66";"GST";"Brand: E[ONITSUKA TIGER]";"(Sportslink) International: S[JPN]; (Sportslink) Shoe Size: S[22.5,23,23.5,24,24.5,25,25.5,26,26.5,27]";"Brands///Onitsuka Tiger; Brands///Onitsuka Tiger///Men's LIFESTYLE; Men///Footwear; Men///Footwear///Lifestyle";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/asith3v3l2511_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/asith3v3l2511_1.jpg";"ONITSUKA TIGER Mexico 66"
"ASITH327Y4209";"en";"1066";"Men";"119.00";"119.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/asith327y4209_1.jpg#{[en]:;}";"ONITSUKA TIGER Rio Runner";"";"ONITSUKA TIGER Rio Runner";"ONITSUKA TIGER Rio Runner";"ONITSUKA TIGER Rio Runner";"ONITSUKA TIGER Rio Runner";"GST";"Brand: E[ONITSUKA TIGER]";"(Sportslink) International: S[JPN]; (Sportslink) Shoe Size: S[22.5,23,23.5,24,24.5,25,25.5,26,26.5,27]";"Brands///Onitsuka Tiger; Brands///Onitsuka Tiger///Men's LIFESTYLE; Men///Footwear; Men///Footwear///Lifestyle";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/asith327y4209_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/asith327y4209_1.jpg";"ONITSUKA TIGER Rio Runner"
"ASITH430L2550";"en";"1067";"Men";"139.00";"139.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/asith430l2550_1.jpg#{[en]:;}";"ONITSUKA TIGER T Stormer";"";"ONITSUKA TIGER T Stormer";"ONITSUKA TIGER T Stormer";"ONITSUKA TIGER T Stormer";"ONITSUKA TIGER T Stormer";"GST";"Brand: E[ONITSUKA TIGER]";"(Sportslink) International: S[JPN]; (Sportslink) Shoe Size: S[22.5,23,23.5,24,24.5,25,25.5,26,26.5,27]";"Brands///Onitsuka Tiger; Brands///Onitsuka Tiger///Men's LIFESTYLE; Men///Footwear; Men///Footwear///Lifestyle";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/asith430l2550_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/asith430l2550_1.jpg";"ONITSUKA TIGER T Stormer"
"ASITH430L5005";"en";"1068";"Men";"139.00";"139.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/asith430l5005_1.jpg#{[en]:;}";"ONITSUKA TIGER T Stormer";"";"ONITSUKA TIGER T Stormer";"ONITSUKA TIGER T Stormer";"ONITSUKA TIGER T Stormer";"ONITSUKA TIGER T Stormer";"GST";"Brand: E[ONITSUKA TIGER]";"(Sportslink) International: S[JPN]; (Sportslink) Shoe Size: S[22.5,23,23.5,24,24.5,25,25.5,26,26.5,27]";"Brands///Onitsuka Tiger///Men's LIFESTYLE; Brands///Onitsuka Tiger; Men///Footwear///Lifestyle; Men///Footwear";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/asith430l5005_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/asith430l5005_1.jpg";"ONITSUKA TIGER T Stormer"
"BRO120176051";"en";"1003";"Women";"169.00";"169.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/bro120176051_1.jpg#{[en]:;}";"BROOKS W Pure Connect 4";"";"BROOKS W Pure Connect 4";"BROOKS W Pure Connect 4";"BROOKS W Pure Connect 4";"BROOKS W Pure Connect 4";"GST";"Brand: E[BROOKS]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[6,6.5,7,7.5,8,8.5,9,9.5]";"Brands///Brooks///Women's RUNNING; Brands///Brooks; Women///Footwear///Running; Women///Footwear";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/bro120176051_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/bro120176051_1.jpg";"BROOKS W Pure Connect 4"
"BRO120175559";"en";"1004";"Women";"199.00";"199.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/bro120175559_1.jpg#{[en]:;}";"BROOKS W Pure Cadence 4";"";"BROOKS W Pure Cadence 4";"BROOKS W Pure Cadence 4";"BROOKS W Pure Cadence 4";"BROOKS W Pure Cadence 4";"GST";"Brand: E[BROOKS]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[6,6.5,7,7.5,8,8.5,9,9.5]";"Brands///Brooks///Women's RUNNING; Brands///Brooks; Women///Footwear///Running; Women///Footwear";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/bro120175559_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/bro120175559_1.jpg";"BROOKS W Pure Cadence 4"
"BRO120174458";"en";"1005";"Women";"199.00";"199.00";"0.50";"10";"0";"0";"0.00";"04 Aug 2015 00:00:00";"O";"N";"N";"R";"";"exim/backup/images/bro120174458_1.jpg#{[en]:;}";"BROOKS W Adrenaline GTS 15 Dwidth";"";"BROOKS W Adrenaline GTS 15 Dwidth";"BROOKS W Adrenaline GTS 15 Dwidth";"BROOKS W Adrenaline GTS 15 Dwidth";"BROOKS W Adrenaline GTS 15 Dwidth";"GST";"Brand: E[BROOKS]";"(Sportslink) International: S[US]; (Sportslink) Shoe Size: S[6,6.5,7,7.5,8,8.5,9,9.5]";"Brands///Brooks///Women's RUNNING; Brands///Brooks; Women///Footwear///Running; Women///Footwear";"";"A";"http://lostcom.us/sportslinkshop/images/detailed/2/bro120174458_1.jpg";"http://lostcom.us/sportslinkshop/images/detailed/2/bro120174458_1.jpg";"BROOKS W Adrenaline GTS 15 Dwidth"
