Record sequence,Record Identifier,Receipt number,Tender code,Amount,Ref number,Expiry date,Branch,Location Code,Date,Time,EFT Card Type,EFT Account Type,EFT Audit Number,Shift,Pos/User ID,EFT Settlement Date,Change records,Foreign currency amount,Foreign currency exchange rate,Voucher Issue,EFTPOS Cashout Amount,Tender Line Number
"sl000001","TN","113","","0","","","63","63","20150612","20150612","","","","","0001","","N","0","0","N","",""
"sl000002","TN","114","","0","","","63","63","20150613","20150613","","","","","0001","","N","0","0","N","",""
"sl000003","TN","115","","7.000","","","63","63","20150615","20150615","","","","","0001","","N","0","0","N","",""
"sl000004","TN","118","","0","","","63","63","20150616","20150616","","","","","0001","","N","0","0","N","",""
"sl000005","TN","119","","7.000","","","63","63","20150616","20150616","","","","","0001","","N","0","0","N","",""
"sl000006","TN","120","","0","","","63","63","20150616","20150616","","","","","0001","","N","0","0","N","",""
"sl000007","TN","121","","0","","","63","63","20150616","20150616","","","","","0001","","N","0","0","N","",""
"sl000008","TN","122","","0","","","63","63","20150616","20150616","","","","","0001","","N","0","0","N","",""
"sl000009","TN","123","","0","","","63","63","20150617","20150617","","","","","0001","","N","0","0","N","",""
"sl000010","TN","124","","0","","","63","63","20150617","20150617","","","","","0001","","N","0","0","N","",""
"sl000011","TN","125","","0","","","63","63","20150617","20150617","","","","","0001","","N","0","0","N","",""
"sl000012","TN","126","","0","","","63","63","20150617","20150617","","","","","0001","","N","0","0","N","",""
"sl000013","TN","112","","0","","","63","63","20150605","20150605","","","","","0001","","N","0","0","N","",""
"sl000014","TN","111","","0","","","63","63","20150604","20150604","","","","","0001","","N","0","0","N","",""
"sl000015","TN","110","","0","","","63","63","20150529","20150529","","","","","0001","","N","0","0","N","",""
"sl000016","TN","109","","0","","","63","63","20150529","20150529","","","","","0001","","N","0","0","N","",""
"sl000017","TN","106","","0","","","63","63","20150529","20150529","","","","","0001","","N","0","0","N","",""
"sl000018","TN","101","","0","","","63","63","20150526","20150526","","","","","0001","","N","0","0","N","",""
"sl000019","TN","100","","7.000","","","63","63","20150522","20150522","","","","","0001","","N","0","0","N","",""
